,home_team,home_score,away_team,away_score,winner,wins_home,losses_home,FG%_home,3PT FG%_home,FT%_home,offensive_rating_home,defensive_rating_home,average_assists_home,average_rebounds_home,wins_away,losses_away,FG%_away,3PT FG%_away,FT%_away,offensive_rating_away,defensive_rating_away,average_assists_away,average_rebounds_away
0,1,126,2,117,1,54,23,77.85,37.77,80.47,117.39,110.87,26.75,45.45,46,26,79.25,39.14,83.32,115.43,111.9,25.15,40.75
1,3,123,4,109,1,38,33,78.94,38.61,79.35,118.59,116.66,29.75,44.89,40,32,79.07,35.06,76.73,117.14,115.24,25.71,46.26
2,5,113,6,109,1,14,55,77.78,35.57,77.4,110.48,118.41,23.29,42.07,30,46,78.51,34.92,78.58,111.2,113.58,23.17,43.17
3,11,107,12,114,0,29,41,78.31,36.79,78.36,115.94,118.99,26.94,41.31,32,40,79.0,35.28,78.07,113.26,114.36,25.43,43.83
4,9,108,10,130,0,41,31,79.12,38.09,79.88,113.25,111.67,25.51,40.42,42,33,79.25,36.96,79.22,115.09,112.36,26.09,43.63
5,25,108,26,116,0,40,32,77.42,34.86,83.08,110.08,109.83,24.07,40.57,34,39,78.99,35.31,80.99,112.52,111.9,24.21,42.23
6,21,108,22,105,1,35,40,76.74,34.06,78.37,112.43,111.73,24.08,43.01,43,27,79.1,36.94,78.29,112.57,107.67,24.56,41.01
7,23,115,24,112,1,44,25,78.59,34.81,74.24,116.68,112.14,26.06,46.42,40,34,77.8,35.09,76.56,115.82,113.61,22.61,46.69
8,19,115,20,108,1,37,36,79.44,36.03,75.59,115.05,115.51,25.81,42.15,38,40,78.0,35.76,80.58,117.14,116.35,24.14,43.74
9,17,102,18,129,0,21,53,78.28,34.76,74.49,112.49,121.97,27.07,43.42,25,51,77.91,33.32,74.51,111.16,117.66,25.29,44.45
10,7,123,8,102,1,33,44,78.49,35.16,78.27,116.51,118.17,25.78,45.75,49,28,79.61,37.96,75.1,115.65,112.95,28.77,43.25
11,15,107,16,105,1,41,33,77.73,37.6,79.44,113.43,111.32,27.04,44.03,33,40,78.08,36.93,76.39,113.66,114.0,22.86,38.96
12,13,108,14,115,0,44,32,79.42,37.13,78.62,120.59,118.2,27.37,42.5,29,48,78.31,36.68,79.39,113.01,117.74,24.03,40.42
13,4,97,27,103,0,40,32,79.07,35.06,76.73,117.14,115.24,25.71,46.26,41,36,78.61,37.7,77.69,113.56,112.99,23.99,43.39
14,18,112,10,124,0,25,51,77.91,33.32,74.51,111.16,117.66,25.29,44.45,42,33,79.25,36.96,79.22,115.09,112.36,26.09,43.63
15,11,134,17,137,0,29,41,78.31,36.79,78.36,115.94,118.99,26.94,41.31,21,53,78.28,34.76,74.49,112.49,121.97,27.07,43.42
16,12,102,26,100,1,32,40,79.0,35.28,78.07,113.26,114.36,25.43,43.83,34,39,78.99,35.31,80.99,112.52,111.9,24.21,42.23
17,29,108,6,98,1,37,36,77.92,35.2,81.62,118.7,117.82,24.89,44.89,30,46,78.51,34.92,78.58,111.2,113.58,23.17,43.17
18,9,109,21,105,1,41,31,79.12,38.09,79.88,113.25,111.67,25.51,40.42,35,40,76.74,34.06,78.37,112.43,111.73,24.08,43.01
19,28,122,23,129,0,21,52,78.83,33.13,75.27,110.92,118.38,22.41,46.21,44,25,78.59,34.81,74.24,116.68,112.14,26.06,46.42
20,19,126,7,132,0,37,36,79.44,36.03,75.59,115.05,115.51,25.81,42.15,33,44,78.49,35.16,78.27,116.51,118.17,25.78,45.75
21,3,123,8,128,0,38,33,78.94,38.61,79.35,118.59,116.66,29.75,44.89,49,28,79.61,37.96,75.1,115.65,112.95,28.77,43.25
22,14,113,15,111,1,29,48,78.31,36.68,79.39,113.01,117.74,24.03,40.42,41,33,77.73,37.6,79.44,113.43,111.32,27.04,44.03
23,2,105,17,114,0,46,26,79.25,39.14,83.32,115.43,111.9,25.15,40.75,21,53,78.28,34.76,74.49,112.49,121.97,27.07,43.42
24,11,124,5,115,1,29,41,78.31,36.79,78.36,115.94,118.99,26.94,41.31,14,55,77.78,35.57,77.4,110.48,118.41,23.29,42.07
25,6,120,1,126,0,30,46,78.51,34.92,78.58,111.2,113.58,23.17,43.17,54,23,77.85,37.77,80.47,117.39,110.87,26.75,45.45
26,25,112,21,109,1,40,32,77.42,34.86,83.08,110.08,109.83,24.07,40.57,35,40,76.74,34.06,78.37,112.43,111.73,24.08,43.01
27,26,96,22,128,0,34,39,78.99,35.31,80.99,112.52,111.9,24.21,42.23,43,27,79.1,36.94,78.29,112.57,107.67,24.56,41.01
28,30,125,28,105,1,55,20,79.3,37.1,73.93,117.6,113.45,25.95,49.11,21,52,78.83,33.13,75.27,110.92,118.38,22.41,46.21
29,8,122,20,117,1,49,28,79.61,37.96,75.1,115.65,112.95,28.77,43.25,38,40,78.0,35.76,80.58,117.14,116.35,24.14,43.74
30,13,109,27,111,0,44,32,79.42,37.13,78.62,120.59,118.2,27.37,42.5,41,36,78.61,37.7,77.69,113.56,112.99,23.99,43.39
31,4,104,14,106,0,40,32,79.07,35.06,76.73,117.14,115.24,25.71,46.26,29,48,78.31,36.68,79.39,113.01,117.74,24.03,40.42
32,29,109,18,126,0,37,36,77.92,35.2,81.62,118.7,117.82,24.89,44.89,25,51,77.91,33.32,74.51,111.16,117.66,25.29,44.45
33,22,117,12,107,1,43,27,79.1,36.94,78.29,112.57,107.67,24.56,41.01,32,40,79.0,35.28,78.07,113.26,114.36,25.43,43.83
34,10,121,7,122,0,42,33,79.25,36.96,79.22,115.09,112.36,26.09,43.63,33,44,78.49,35.16,78.27,116.51,118.17,25.78,45.75
35,20,106,19,116,0,38,40,78.0,35.76,80.58,117.14,116.35,24.14,43.74,37,36,79.44,36.03,75.59,115.05,115.51,25.81,42.15
36,3,130,13,125,1,38,33,78.94,38.61,79.35,118.59,116.66,29.75,44.89,44,32,79.42,37.13,78.62,120.59,118.2,27.37,42.5
37,27,95,15,112,0,41,36,78.61,37.7,77.69,113.56,112.99,23.99,43.39,41,33,77.73,37.6,79.44,113.43,111.32,27.04,44.03
38,2,120,11,106,1,46,26,79.25,39.14,83.32,115.43,111.9,25.15,40.75,29,41,78.31,36.79,78.36,115.94,118.99,26.94,41.31
39,25,90,21,98,0,40,32,77.42,34.86,83.08,110.08,109.83,24.07,40.57,35,40,76.74,34.06,78.37,112.43,111.73,24.08,43.01
40,24,115,6,102,1,40,34,77.8,35.09,76.56,115.82,113.61,22.61,46.69,30,46,78.51,34.92,78.58,111.2,113.58,23.17,43.17
41,26,120,1,102,1,34,39,78.99,35.31,80.99,112.52,111.9,24.21,42.23,54,23,77.85,37.77,80.47,117.39,110.87,26.75,45.45
42,28,114,7,108,1,21,52,78.83,33.13,75.27,110.92,118.38,22.41,46.21,33,44,78.49,35.16,78.27,116.51,118.17,25.78,45.75
43,23,134,9,124,1,44,25,78.59,34.81,74.24,116.68,112.14,26.06,46.42,41,31,79.12,38.09,79.88,113.25,111.67,25.51,40.42
44,19,106,17,115,0,37,36,79.44,36.03,75.59,115.05,115.51,25.81,42.15,21,53,78.28,34.76,74.49,112.49,121.97,27.07,43.42
45,14,135,8,110,1,29,48,78.31,36.68,79.39,113.01,117.74,24.03,40.42,49,28,79.61,37.96,75.1,115.65,112.95,28.77,43.25
46,10,113,16,111,1,42,33,79.25,36.96,79.22,115.09,112.36,26.09,43.63,33,40,78.08,36.93,76.39,113.66,114.0,22.86,38.96
47,20,108,27,94,1,38,40,78.0,35.76,80.58,117.14,116.35,24.14,43.74,41,36,78.61,37.7,77.69,113.56,112.99,23.99,43.39
48,22,103,6,92,1,43,27,79.1,36.94,78.29,112.57,107.67,24.56,41.01,30,46,78.51,34.92,78.58,111.2,113.58,23.17,43.17
49,5,113,29,118,0,14,55,77.78,35.57,77.4,110.48,118.41,23.29,42.07,37,36,77.92,35.2,81.62,118.7,117.82,24.89,44.89
50,24,134,18,131,1,40,34,77.8,35.09,76.56,115.82,113.61,22.61,46.69,25,51,77.91,33.32,74.51,111.16,117.66,25.29,44.45
51,21,119,2,109,1,35,40,76.74,34.06,78.37,112.43,111.73,24.08,43.01,46,26,79.25,39.14,83.32,115.43,111.9,25.15,40.75
52,30,110,9,99,1,55,20,79.3,37.1,73.93,117.6,113.45,25.95,49.11,41,31,79.12,38.09,79.88,113.25,111.67,25.51,40.42
53,19,134,17,122,1,37,36,79.44,36.03,75.59,115.05,115.51,25.81,42.15,21,53,78.28,34.76,74.49,112.49,121.97,27.07,43.42
54,7,109,28,101,1,33,44,78.49,35.16,78.27,116.51,118.17,25.78,45.75,21,52,78.83,33.13,75.27,110.92,118.38,22.41,46.21
55,8,110,4,99,1,49,28,79.61,37.96,75.1,115.65,112.95,28.77,43.25,40,32,79.07,35.06,76.73,117.14,115.24,25.71,46.26
56,14,98,25,119,0,29,48,78.31,36.68,79.39,113.01,117.74,24.03,40.42,40,32,77.42,34.86,83.08,110.08,109.83,24.07,40.57
57,9,125,16,129,0,41,31,79.12,38.09,79.88,113.25,111.67,25.51,40.42,33,40,78.08,36.93,76.39,113.66,114.0,22.86,38.96
58,20,118,27,110,1,38,40,78.0,35.76,80.58,117.14,116.35,24.14,43.74,41,36,78.61,37.7,77.69,113.56,112.99,23.99,43.39
59,3,123,25,110,1,38,33,78.94,38.61,79.35,118.59,116.66,29.75,44.89,40,32,77.42,34.86,83.08,110.08,109.83,24.07,40.57
60,13,110,23,125,0,44,32,79.42,37.13,78.62,120.59,118.2,27.37,42.5,44,25,78.59,34.81,74.24,116.68,112.14,26.06,46.42
61,5,112,29,136,0,14,55,77.78,35.57,77.4,110.48,118.41,23.29,42.07,37,36,77.92,35.2,81.62,118.7,117.82,24.89,44.89
62,6,113,18,93,1,30,46,78.51,34.92,78.58,111.2,113.58,23.17,43.17,25,51,77.91,33.32,74.51,111.16,117.66,25.29,44.45
63,1,123,22,132,0,54,23,77.85,37.77,80.47,117.39,110.87,26.75,45.45,43,27,79.1,36.94,78.29,112.57,107.67,24.56,41.01
64,21,90,2,112,0,35,40,76.74,34.06,78.37,112.43,111.73,24.08,43.01,46,26,79.25,39.14,83.32,115.43,111.9,25.15,40.75
65,12,117,11,127,0,32,40,79.0,35.28,78.07,113.26,114.36,25.43,43.83,29,41,78.31,36.79,78.36,115.94,118.99,26.94,41.31
66,30,119,24,108,1,55,20,79.3,37.1,73.93,117.6,113.45,25.95,49.11,40,34,77.8,35.09,76.56,115.82,113.61,22.61,46.69
67,19,111,4,102,1,37,36,79.44,36.03,75.59,115.05,115.51,25.81,42.15,40,32,79.07,35.06,76.73,117.14,115.24,25.71,46.26
68,17,129,26,124,1,21,53,78.28,34.76,74.49,112.49,121.97,27.07,43.42,34,39,78.99,35.31,80.99,112.52,111.9,24.21,42.23
69,8,117,7,101,1,49,28,79.61,37.96,75.1,115.65,112.95,28.77,43.25,33,44,78.49,35.16,78.27,116.51,118.17,25.78,45.75
70,15,124,10,111,1,41,33,77.73,37.6,79.44,113.43,111.32,27.04,44.03,42,33,79.25,36.96,79.22,115.09,112.36,26.09,43.63
71,14,125,28,111,1,29,48,78.31,36.68,79.39,113.01,117.74,24.03,40.42,21,52,78.83,33.13,75.27,110.92,118.38,22.41,46.21
72,13,119,25,113,1,44,32,79.42,37.13,78.62,120.59,118.2,27.37,42.5,40,32,77.42,34.86,83.08,110.08,109.83,24.07,40.57
73,18,120,3,113,1,25,51,77.91,33.32,74.51,111.16,117.66,25.29,44.45,38,33,78.94,38.61,79.35,118.59,116.66,29.75,44.89
74,9,116,11,125,0,41,31,79.12,38.09,79.88,113.25,111.67,25.51,40.42,29,41,78.31,36.79,78.36,115.94,118.99,26.94,41.31
75,26,109,2,114,0,34,39,78.99,35.31,80.99,112.52,111.9,24.21,42.23,46,26,79.25,39.14,83.32,115.43,111.9,25.15,40.75
76,30,123,29,115,1,55,20,79.3,37.1,73.93,117.6,113.45,25.95,49.11,37,36,77.92,35.2,81.62,118.7,117.82,24.89,44.89
77,16,111,20,117,0,33,40,78.08,36.93,76.39,113.66,114.0,22.86,38.96,38,40,78.0,35.76,80.58,117.14,116.35,24.14,43.74
78,7,124,23,123,1,33,44,78.49,35.16,78.27,116.51,118.17,25.78,45.75,44,25,78.59,34.81,74.24,116.68,112.14,26.06,46.42
79,27,91,10,112,0,41,36,78.61,37.7,77.69,113.56,112.99,23.99,43.39,42,33,79.25,36.96,79.22,115.09,112.36,26.09,43.63
80,1,112,12,94,1,54,23,77.85,37.77,80.47,117.39,110.87,26.75,45.45,32,40,79.0,35.28,78.07,113.26,114.36,25.43,43.83
81,22,121,24,108,1,43,27,79.1,36.94,78.29,112.57,107.67,24.56,41.01,40,34,77.8,35.09,76.56,115.82,113.61,22.61,46.69
82,17,107,19,98,1,21,53,78.28,34.76,74.49,112.49,121.97,27.07,43.42,37,36,79.44,36.03,75.59,115.05,115.51,25.81,42.15
83,16,114,6,105,1,33,40,78.08,36.93,76.39,113.66,114.0,22.86,38.96,30,46,78.51,34.92,78.58,111.2,113.58,23.17,43.17
84,15,124,28,109,1,41,33,77.73,37.6,79.44,113.43,111.32,27.04,44.03,21,52,78.83,33.13,75.27,110.92,118.38,22.41,46.21
85,4,121,8,110,1,40,32,79.07,35.06,76.73,117.14,115.24,25.71,46.26,49,28,79.61,37.96,75.1,115.65,112.95,28.77,43.25
86,18,108,13,115,0,25,51,77.91,33.32,74.51,111.16,117.66,25.29,44.45,44,32,79.42,37.13,78.62,120.59,118.2,27.37,42.5
87,12,111,2,118,0,32,40,79.0,35.28,78.07,113.26,114.36,25.43,43.83,46,26,79.25,39.14,83.32,115.43,111.9,25.15,40.75
88,9,116,11,109,1,41,31,79.12,38.09,79.88,113.25,111.67,25.51,40.42,29,41,78.31,36.79,78.36,115.94,118.99,26.94,41.31
89,30,110,5,108,1,55,20,79.3,37.1,73.93,117.6,113.45,25.95,49.11,14,55,77.78,35.57,77.4,110.48,118.41,23.29,42.07
90,7,121,23,105,1,33,44,78.49,35.16,78.27,116.51,118.17,25.78,45.75,44,25,78.59,34.81,74.24,116.68,112.14,26.06,46.42
91,27,95,28,93,1,41,36,78.61,37.7,77.69,113.56,112.99,23.99,43.39,21,52,78.83,33.13,75.27,110.92,118.38,22.41,46.21
92,9,99,26,108,0,41,31,79.12,38.09,79.88,113.25,111.67,25.51,40.42,34,39,78.99,35.31,80.99,112.52,111.9,24.21,42.23
93,25,116,3,109,1,40,32,77.42,34.86,83.08,110.08,109.83,24.07,40.57,38,33,78.94,38.61,79.35,118.59,116.66,29.75,44.89
94,20,116,6,108,1,38,40,78.0,35.76,80.58,117.14,116.35,24.14,43.74,30,46,78.51,34.92,78.58,111.2,113.58,23.17,43.17
95,15,116,19,107,1,41,33,77.73,37.6,79.44,113.43,111.32,27.04,44.03,37,36,79.44,36.03,75.59,115.05,115.51,25.81,42.15
96,22,114,1,113,1,43,27,79.1,36.94,78.29,112.57,107.67,24.56,41.01,54,23,77.85,37.77,80.47,117.39,110.87,26.75,45.45
97,2,111,12,121,0,46,26,79.25,39.14,83.32,115.43,111.9,25.15,40.75,32,40,79.0,35.28,78.07,113.26,114.36,25.43,43.83
98,25,110,13,107,1,40,32,77.42,34.86,83.08,110.08,109.83,24.07,40.57,44,32,79.42,37.13,78.62,120.59,118.2,27.37,42.5
99,24,99,29,112,0,40,34,77.8,35.09,76.56,115.82,113.61,22.61,46.69,37,36,77.92,35.2,81.62,118.7,117.82,24.89,44.89
100,26,106,18,88,1,34,39,78.99,35.31,80.99,112.52,111.9,24.21,42.23,25,51,77.91,33.32,74.51,111.16,117.66,25.29,44.45
101,28,101,27,109,0,21,52,78.83,33.13,75.27,110.92,118.38,22.41,46.21,41,36,78.61,37.7,77.69,113.56,112.99,23.99,43.39
102,30,116,5,91,1,55,20,79.3,37.1,73.93,117.6,113.45,25.95,49.11,14,55,77.78,35.57,77.4,110.48,118.41,23.29,42.07
103,17,100,21,143,0,21,53,78.28,34.76,74.49,112.49,121.97,27.07,43.42,35,40,76.74,34.06,78.37,112.43,111.73,24.08,43.01
104,16,103,7,100,1,33,40,78.08,36.93,76.39,113.66,114.0,22.86,38.96,33,44,78.49,35.16,78.27,116.51,118.17,25.78,45.75
105,14,106,23,111,0,29,48,78.31,36.68,79.39,113.01,117.74,24.03,40.42,44,25,78.59,34.81,74.24,116.68,112.14,26.06,46.42
106,4,120,10,117,1,40,32,79.07,35.06,76.73,117.14,115.24,25.71,46.26,42,33,79.25,36.96,79.22,115.09,112.36,26.09,43.63
107,20,110,8,122,0,38,40,78.0,35.76,80.58,117.14,116.35,24.14,43.74,49,28,79.61,37.96,75.1,115.65,112.95,28.77,43.25
108,5,88,22,112,0,14,55,77.78,35.57,77.4,110.48,118.41,23.29,42.07,43,27,79.1,36.94,78.29,112.57,107.67,24.56,41.01
109,11,101,25,99,1,29,41,78.31,36.79,78.36,115.94,118.99,26.94,41.31,40,32,77.42,34.86,83.08,110.08,109.83,24.07,40.57
110,2,104,24,106,0,46,26,79.25,39.14,83.32,115.43,111.9,25.15,40.75,40,34,77.8,35.09,76.56,115.82,113.61,22.61,46.69
111,12,86,9,128,0,32,40,79.0,35.28,78.07,113.26,114.36,25.43,43.83,41,31,79.12,38.09,79.88,113.25,111.67,25.51,40.42
112,1,123,26,119,1,54,23,77.85,37.77,80.47,117.39,110.87,26.75,45.45,34,39,78.99,35.31,80.99,112.52,111.9,24.21,42.23
113,23,130,18,99,1,44,25,78.59,34.81,74.24,116.68,112.14,26.06,46.42,25,51,77.91,33.32,74.51,111.16,117.66,25.29,44.45
114,17,106,27,113,0,21,53,78.28,34.76,74.49,112.49,121.97,27.07,43.42,41,36,78.61,37.7,77.69,113.56,112.99,23.99,43.39
115,16,111,21,110,1,33,40,78.08,36.93,76.39,113.66,114.0,22.86,38.96,35,40,76.74,34.06,78.37,112.43,111.73,24.08,43.01
116,10,114,3,105,1,42,33,79.25,36.96,79.22,115.09,112.36,26.09,43.63,38,33,78.94,38.61,79.35,118.59,116.66,29.75,44.89
