game_id,home_team,home_score,away_team,away_score,winner
22200001,Celtics,126,76ers,117,Celtics
22200002,Warriors,123,Lakers,109,Warriors
22200003,Pistons,113,Magic,109,Pistons
22200004,Pacers,107,Wizards,114,Wizards
22200006,Nets,108,Pelicans,130,Pelicans
22200007,Heat,108,Bulls,116,Bulls
22200008,Raptors,108,Cavaliers,105,Raptors
22200009,Grizzlies,115,Knicks,112,Grizzlies
22200010,Timberwolves,115,Thunder,108,Timberwolves
22200011,Spurs,102,Hornets,129,Hornets
22200012,Jazz,123,Nuggets,102,Jazz
22200013,Suns,107,Mavericks,105,Suns
22200014,Kings,108,Trail Blazers,115,Trail Blazers
22200016,Lakers,97,Clippers,103,Clippers
22200017,Hornets,112,Pelicans,124,Pelicans
22200018,Pacers,134,Spurs,137,Spurs
22200019,Wizards,102,Bulls,100,Wizards
22200020,Hawks,108,Magic,98,Hawks
22200021,Nets,109,Raptors,105,Nets
22200024,Rockets,122,Grizzlies,129,Grizzlies
22200025,Timberwolves,126,Jazz,132,Jazz
22200026,Warriors,123,Nuggets,128,Nuggets
22200027,Trail Blazers,113,Suns,111,Trail Blazers
22200028,76ers,105,Spurs,114,Spurs
22200029,Pacers,124,Pistons,115,Pacers
22200030,Magic,120,Celtics,126,Celtics
22200031,Heat,112,Raptors,109,Heat
22200032,Bulls,96,Cavaliers,128,Cavaliers
22200033,Bucks,125,Rockets,105,Bucks
22200035,Nuggets,122,Thunder,117,Nuggets
22200036,Kings,109,Clippers,111,Clippers
22200037,Lakers,104,Trail Blazers,106,Trail Blazers
22200038,Hawks,109,Hornets,126,Hornets
22200039,Cavaliers,117,Wizards,107,Cavaliers
22200040,Pelicans,121,Jazz,122,Jazz
22200041,Thunder,106,Timberwolves,116,Timberwolves
22200042,Warriors,130,Kings,125,Warriors
22200043,Clippers,95,Suns,112,Suns
22200044,76ers,120,Pacers,106,76ers
22200045,Heat,90,Raptors,98,Raptors
22200046,Knicks,115,Magic,102,Knicks
22200047,Bulls,120,Celtics,102,Bulls
22200048,Rockets,114,Jazz,108,Rockets
22200049,Grizzlies,134,Nets,124,Grizzlies
22200050,Timberwolves,106,Spurs,115,Spurs
22200051,Trail Blazers,135,Nuggets,110,Trail Blazers
22200053,Pelicans,113,Mavericks,111,Pelicans
22200054,Thunder,108,Clippers,94,Thunder
22200056,Cavaliers,103,Magic,92,Cavaliers
22200057,Pistons,113,Hawks,118,Hawks
22200058,Knicks,134,Hornets,131,Knicks
22200059,Raptors,119,76ers,109,Raptors
22200060,Bucks,110,Nets,99,Bucks
22200062,Timberwolves,134,Spurs,122,Timberwolves
22200063,Jazz,109,Rockets,101,Jazz
22200064,Nuggets,110,Lakers,99,Nuggets
22200065,Trail Blazers,98,Heat,119,Heat
22200066,Nets,125,Mavericks,129,Mavericks
22200067,Thunder,118,Clippers,110,Thunder
22200068,Warriors,123,Heat,110,Warriors
22200069,Kings,110,Grizzlies,125,Grizzlies
22200070,Pistons,112,Hawks,136,Hawks
22200071,Magic,113,Hornets,93,Magic
22200072,Celtics,123,Cavaliers,132,Cavaliers
22200073,Raptors,90,76ers,112,76ers
22200074,Wizards,117,Pacers,127,Pacers
22200075,Bucks,119,Knicks,108,Bucks
22200076,Timberwolves,111,Lakers,102,Timberwolves
22200077,Spurs,129,Bulls,124,Spurs
22200078,Nuggets,117,Jazz,101,Nuggets
22200079,Suns,124,Pelicans,111,Suns
22200080,Trail Blazers,125,Rockets,111,Trail Blazers
22200081,Kings,119,Heat,113,Kings
22200082,Hornets,120,Warriors,113,Hornets
22200083,Nets,116,Pacers,125,Pacers
22200084,Bulls,109,76ers,114,76ers
22200085,Bucks,123,Hawks,115,Bucks
22200086,Mavericks,111,Thunder,117,Thunder
22200087,Jazz,124,Grizzlies,123,Jazz
22200088,Clippers,91,Pelicans,112,Pelicans
22200089,Celtics,112,Wizards,94,Celtics
22200090,Cavaliers,121,Knicks,108,Cavaliers
22200092,Spurs,107,Timberwolves,98,Spurs
22200093,Mavericks,114,Magic,105,Mavericks
22200094,Suns,124,Rockets,109,Suns
22200095,Lakers,121,Nuggets,110,Lakers
22200096,Hornets,108,Kings,115,Kings
22200097,Wizards,111,76ers,118,76ers
22200098,Nets,116,Pacers,109,Nets
22200100,Bucks,110,Pistons,108,Bucks
22200101,Jazz,121,Grizzlies,105,Jazz
22200102,Clippers,95,Rockets,93,Clippers
22200103,Nets,99,Bulls,108,Bulls
22200104,Heat,116,Warriors,109,Heat
22200105,Thunder,116,Magic,108,Thunder
22200106,Suns,116,Timberwolves,107,Suns
22200107,Cavaliers,114,Celtics,113,Cavaliers
22200108,76ers,111,Wizards,121,Wizards
22200109,Heat,110,Kings,107,Heat
22200110,Knicks,99,Hawks,112,Hawks
22200111,Bulls,106,Hornets,88,Bulls
22200112,Rockets,101,Clippers,109,Clippers
22200113,Bucks,116,Pistons,91,Bucks
22200114,Spurs,100,Raptors,143,Raptors
22200115,Mavericks,103,Jazz,100,Mavericks
22200116,Trail Blazers,106,Grizzlies,111,Grizzlies
22200117,Lakers,120,Pelicans,117,Lakers
22200119,Thunder,110,Nuggets,122,Nuggets
22200120,Pistons,88,Cavaliers,112,Cavaliers
22200121,Pacers,101,Heat,99,Pacers
22200122,76ers,104,Knicks,106,Knicks
22200123,Wizards,86,Nets,128,Nets
22200124,Celtics,123,Bulls,119,Celtics
22200125,Grizzlies,130,Hornets,99,Grizzlies
22200126,Spurs,106,Clippers,113,Clippers
22200127,Mavericks,111,Raptors,110,Mavericks
22200128,Pelicans,114,Warriors,105,Pelicans
22200129,Timberwolves,102,Bucks,115,Bucks
22200130,Suns,106,Trail Blazers,108,Trail Blazers
22200132,Magic,123,Kings,126,Kings
22200133,Hornets,94,Nets,98,Nets
22200134,Hawks,124,Pelicans,121,Hawks
22200135,Knicks,118,Celtics,133,Celtics
22200136,Bucks,108,Thunder,94,Bucks
22200137,Timberwolves,129,Rockets,117,Timberwolves
22200138,Nuggets,126,Spurs,101,Nuggets
22200139,Suns,102,Trail Blazers,82,Suns
22200141,Raptors,113,Bulls,104,Raptors
22200142,Grizzlies,103,Wizards,97,Grizzlies
22200143,Clippers,102,Jazz,110,Jazz
22200144,Hornets,100,Wizards,108,Wizards
22200145,Magic,127,Rockets,134,Rockets
22200146,Pistons,112,Thunder,103,Pistons
22200148,76ers,100,Suns,88,76ers
22200149,Hawks,117,Bucks,98,Hawks
22200150,Heat,107,Trail Blazers,110,Trail Blazers
22200151,Bulls,111,Raptors,97,Bulls
22200152,Grizzlies,106,Celtics,109,Celtics
22200153,Timberwolves,107,Knicks,120,Knicks
22200154,Spurs,109,Nuggets,115,Nuggets
22200155,Mavericks,96,Nets,94,Mavericks
22200156,Warriors,116,Kings,113,Warriors
22200158,Clippers,119,Cavaliers,117,Clippers
22200159,Hornets,95,Trail Blazers,105,Trail Blazers
22200160,Pacers,119,Nuggets,122,Nuggets
22200161,Magic,94,Mavericks,87,Magic
22200162,Hawks,119,Jazz,125,Jazz
22200163,Celtics,128,Pistons,112,Celtics
22200164,Nets,112,Knicks,85,Nets
22200165,Raptors,116,Rockets,109,Raptors
22200166,Bulls,111,Pelicans,115,Pelicans
22200167,Timberwolves,117,Suns,129,Suns
22200168,Thunder,132,Bucks,136,Bucks
22200169,Spurs,122,Grizzlies,124,Grizzlies
22200170,Clippers,114,Lakers,101,Clippers
22200171,Kings,127,Cavaliers,120,Kings
22200172,Wizards,113,Mavericks,105,Wizards
22200173,Hawks,104,76ers,95,Hawks
22200174,Heat,117,Hornets,112,Heat
22200176,Celtics,131,Nuggets,112,Celtics
22200177,Magic,114,Suns,97,Magic
22200178,Knicks,121,Pistons,112,Knicks
22200179,Thunder,132,Raptors,113,Thunder
22200180,Spurs,111,Bucks,93,Spurs
22200181,Grizzlies,114,Timberwolves,103,Grizzlies
22200182,Warriors,106,Cavaliers,101,Warriors
22200183,Lakers,114,Kings,120,Kings
22200184,Clippers,95,Nets,110,Nets
22200185,Wizards,121,Jazz,112,Wizards
22200186,Pistons,108,Celtics,117,Celtics
22200187,Pacers,118,Raptors,104,Pacers
22200188,76ers,121,Hawks,109,76ers
22200189,Heat,132,Hornets,115,Heat
22200190,Mavericks,117,Trail Blazers,112,Mavericks
22200191,Pelicans,119,Rockets,106,Pelicans
22200192,Knicks,135,Thunder,145,Thunder
22200193,Cavaliers,124,Timberwolves,129,Timberwolves
22200194,Wizards,102,Grizzlies,92,Wizards
22200195,76ers,105,Jazz,98,76ers
