player_name,teams,FG%,3PT FG%,FT%,SPG,BPG,PPG,APG,RPG,games_played
Al Horford,Celtics,79.91,44.18,68.42,0.3,0.14,34.5,2.9,6.2,57
Joel Embiid,76ers,78.9,31.84,85.32,1.86,1.43,79.4,4.1,10.0,58
P.J. Tucker,76ers,86.69,39.2,85.0,0.14,0.14,23.7,0.8,3.8,66
Marcus Smart,Celtics,74.34,34.53,74.11,1.16,0.32,36.4,6.3,3.1,56
Tobias Harris,76ers,76.54,39.32,86.61,0.48,0.66,40.7,2.6,5.8,65
Jayson Tatum,Celtics,72.14,34.9,84.74,1.59,0.82,67.1,4.6,8.7,68
Tyrese Maxey,76ers,68.89,44.06,84.58,0.55,0.62,41.2,3.7,3.0,55
Derrick White,Celtics,75.16,37.7,87.85,0.79,0.42,34.6,4.0,3.5,76
Jaylen Brown,Celtics,71.83,33.48,75.48,1.47,1.16,60.4,3.5,6.9,62
James Harden,76ers,74.56,39.45,87.18,2.18,0.88,54.7,10.8,6.4,51
Noah Vonleh,Celtics,90.08,25.0,100.0,0.11,0.22,13.3,0.4,2.4,18
Grant Williams,Celtics,80.46,39.71,76.72,0.4,0.3,30.2,1.6,4.5,73
Montrezl Harrell,76ers,87.18,0.0,69.32,0.28,0.32,20.5,0.5,2.8,50
Malcolm Brogdon,Celtics,73.78,43.12,85.71,0.9,0.77,35.8,3.8,4.2,62
Blake Griffin,Celtics,85.84,35.38,65.62,0.12,0.12,21.1,1.5,3.8,40
Danuel House Jr.,76ers,79.24,35.79,72.34,0.17,0.06,15.2,0.7,1.6,48
Georges Niang,76ers,75.27,40.58,87.8,0.34,0.19,24.3,1.0,2.4,70
De'Anthony Melton,76ers,75.81,38.33,79.22,0.87,0.31,33.8,2.7,4.1,68
Matisse Thybulle,"76ers, Trail Blazers",80.38,36.43,73.08,0.16,0.11,18.1,0.8,2.1,64
Sam Hauser,Celtics,76.15,42.77,70.59,0.27,0.08,19.7,0.9,2.7,73
Terry Porter,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Kevon Looney,Warriors,92.64,0.0,59.7,0.25,0.34,42.6,2.5,9.5,71
Anthony Davis,Lakers,81.11,23.88,77.49,0.9,1.02,71.8,2.7,12.7,50
Andrew Wiggins,Warriors,74.07,40.22,61.19,0.6,0.6,46.3,2.4,5.3,30
Russell Westbrook,"Clippers, Lakers",74.81,28.57,65.06,2.03,1.03,48.8,7.7,5.9,62
Patrick Beverley,"Lakers, Bulls",79.69,32.56,70.59,0.5,0.14,28.3,2.9,3.5,58
Draymond Green,Warriors,87.8,31.36,70.0,1.56,0.25,46.8,6.8,7.2,63
