PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,Offensive_Rating,Defensive_Rating,Team_Wins,Team_Losses,Points_Produced,OWS,Defensive_Contributions,DWS,PTS_team,DEF_RAT,W_team,Win_Shares
1630639,A.J. Lawson,A.J.,1610612742,DAL,22,15,5,10,0.333,7.2,1.5,2.9,0.5,0.7,1.7,0.4,0.1,0.5,0.25,0.4,1.0,1.4,0.1,0.2,0.1,0.0,0.2,0.7,0.4,3.7,-3.1,5.8,0,0,6.2,451,459,430,442,484,417,438,140,302,328,85,491,428,509,373,458,453,520,497,495,491,358,475,457,429,462,482,253,39,466,114.2,114.1,38,44,3.75,1.2478108581436076,1.1,0.36634531113058727,114.2,114.1,38,0.2031098762767733
1631260,AJ Green,AJ,1610612749,MIL,23,35,27,8,0.771,9.9,1.5,3.6,0.424,1.3,3.0,0.419,0.1,0.1,1.0,0.2,1.1,1.3,0.6,0.3,0.2,0.0,0.0,0.9,0.1,4.4,-0.7,7.1,0,0,7.9,379,238,442,14,448,411,386,378,173,216,52,499,508,1,487,445,465,428,487,478,491,498,454,518,392,309,455,253,39,436,116.9,113.3,58,24,4.7,2.331907613344739,1.3,0.6654898499558695,116.9,113.3,58,0.8467214581446866
1631100,AJ Griffin,AJ,1610612737,ATL,19,72,34,38,0.472,19.5,3.4,7.4,0.465,1.4,3.6,0.39,0.6,0.7,0.894,0.5,1.6,2.1,1.0,0.6,0.6,0.2,0.3,1.2,0.6,8.9,0.9,14.6,0,0,14.9,102,149,69,326,260,208,199,240,148,166,117,365,403,61,327,372,377,339,382,256,372,268,394,422,217,169,287,253,39,273,118.4,118.1,41,41,9.4,3.2550675675675675,2.4000000000000004,0.8331922099915328,118.4,118.1,41,2.210153913318867
203932,Aaron Gordon,Aaron,1610612743,DEN,27,68,45,23,0.662,30.2,6.3,11.2,0.564,0.9,2.5,0.347,2.8,4.6,0.608,2.4,4.1,6.6,3.0,1.4,0.8,0.8,1.0,1.9,3.6,16.3,7.6,31.8,11,0,29.8,133,35,303,64,107,75,106,68,244,244,259,72,48,455,24,90,56,121,144,151,65,32,205,58,82,4,77,56,39,89,115.8,112.5,53,29,17.8,8.146804835924009,5.699999999999999,2.685333333333333,115.8,112.5,53,5.61513034228386
1628988,Aaron Holiday,Aaron,1610612737,ATL,26,63,32,31,0.508,13.4,1.5,3.5,0.418,0.6,1.4,0.409,0.4,0.5,0.844,0.4,0.8,1.2,1.4,0.6,0.6,0.2,0.3,1.3,0.8,3.9,0.3,9.2,0,0,8.6,189,178,164,255,383,418,401,399,325,359,66,416,434,129,378,486,477,260,387,251,345,315,377,356,415,212,413,253,39,416,118.4,118.1,41,41,4.6,1.5929054054054053,1.6,0.5554614733276885,118.4,118.1,41,1.0162499467493666
1630174,Aaron Nesmith,Aaron,1610612754,IND,23,73,30,43,0.411,24.9,3.5,8.1,0.427,1.6,4.3,0.366,1.6,1.9,0.838,0.8,2.9,3.8,1.3,1.0,0.8,0.5,0.6,3.2,1.9,10.1,-2.9,19.3,1,0,19.3,92,207,37,402,179,207,172,372,124,126,196,152,179,140,207,189,202,275,221,167,146,101,17,150,174,453,211,192,39,198,116.3,119.5,35,47,10.75,3.2351676698194325,4.2,1.2301255230125523,116.3,119.5,35,2.585630782314558
1630598,Aaron Wiggins,Aaron,1610612760,OKC,24,70,37,33,0.529,18.5,2.7,5.2,0.512,0.7,1.7,0.393,0.8,1.0,0.831,1.0,2.0,3.0,1.1,0.8,0.6,0.2,0.5,1.6,0.9,6.8,0.1,13.7,1,0,13.2,116,110,138,220,284,270,299,126,297,325,105,286,310,156,170,315,273,322,303,270,324,171,296,331,283,225,305,192,39,305,117.5,116.4,40,42,7.35,2.502127659574468,2.8,0.9621993127147765,117.5,116.4,40,2.0690725496794267
1629678,Admiral Schofield,Admiral,1610612753,ORL,26,37,14,23,0.378,12.2,1.5,3.3,0.451,0.6,2.0,0.324,0.6,0.6,0.913,0.6,1.1,1.7,0.8,0.4,0.2,0.1,0.2,1.6,0.8,4.2,-2.1,8.1,0,0,8.1,365,386,303,419,408,414,413,283,306,305,335,370,408,45,289,455,420,390,439,460,408,412,269,364,402,424,436,253,39,433,111.4,114.0,34,48,4.6000000000000005,1.4039497307001796,1.4000000000000001,0.41754385964912283,111.4,114.0,34,0.5943577721615975
201143,Al Horford,Al,1610612738,BOS,37,63,44,19,0.698,30.5,3.6,7.6,0.476,2.3,5.2,0.446,0.2,0.3,0.714,1.2,5.0,6.2,3.0,0.6,0.5,1.0,0.1,1.9,0.5,9.8,4.9,25.5,7,0,24.2,189,40,346,33,97,188,189,214,48,81,28,472,473,354,133,60,67,119,378,314,36,439,197,428,185,23,131,86,39,136,117.9,111.4,57,25,11.3,5.463104325699746,6.5,3.3258527827648114,117.9,111.4,57,4.259876579078672
202692,Alec Burks,Alec,1610612765,DET,31,51,12,39,0.235,22.0,3.9,9.0,0.436,1.9,4.7,0.414,3.0,3.7,0.814,0.4,2.7,3.1,2.2,1.1,0.7,0.2,0.3,1.9,2.7,12.8,-0.1,21.4,0,0,21.9,292,404,60,495,220,163,148,340,85,104,57,65,71,182,386,209,263,175,195,172,389,304,196,90,124,255,179,253,39,162,110.3,118.5,17,65,13.9,2.1423390752493203,3.6,0.5164556962025316,110.3,118.5,17,1.215460282369252
