PLAYER_ID;PLAYER_NAME;NICKNAME;TEAM_ABBREVIATION
1630639;A.J. Lawson;A.J.;DAL
1631260;AJ Green;AJ;MIL
1631100;AJ Griffin;AJ;ATL
203932;Aaron Gordon;Aaron;DEN
1628988;Aaron Holiday;Aaron;HOU
1630174;Aaron Nesmith;Aaron;IND
1630598;Aaron Wiggins;Aaron;OKC
1629678;Admiral Schofield;Admiral;ORL
201143;Al Horford;Al;BOS
202692;Alec Burks;Alec;NYK
1630197;Aleksej Pokusevski;Aleksej;OKC
1627936;Alex Caruso;Alex;CHI
203458;Alex Len;Alex;SAC
1628993;Alize Johnson;Alize;SAS
1631214;Alondes Williams;Alondes;BKN
1630578;Alperen Sengun;Alperen;HOU
1629599;Amir Coffey;Amir;LAC
203083;Andre Drummond;Andre;CHI
2738;Andre Iguodala;Andre;na
1629614;Andrew Nembhard;Andrew;IND
203952;Andrew Wiggins;Andrew;GSW
1629014;Anfernee Simons;Anfernee;POR
203076;Anthony Davis;Anthony;LAL
1630162;Anthony Edwards;Anthony;MIN
1630264;Anthony Gill;Anthony;WAS
1630237;Anthony Lamb;Anthony;GSW
1630559;Austin Reaves;Austin;LAL
203085;Austin Rivers;Austin;MIN
1630245;Ayo Dosunmu;Ayo;CHI
1628389;Bam Adebayo;Bam;MIA
1627732;Ben Simmons;Ben;BKN
1631097;Bennedict Mathurin;Bennedict;IND
202687;Bismack Biyombo;Bismack;PHX
201933;Blake Griffin;Blake;na
1631104;Blake Wesley;Blake;SAS
1626246;Boban Marjanovic;Boban;HOU
1626171;Bobby Portis;Bobby;MIL
203992;Bogdan Bogdanovic;Bogdan;ATL
202711;Bojan Bogdanovic;Bojan;NYK
1629626;Bol Bol;Bol;PHX
1630538;Bones Hyland;Bones;LAC
203078;Bradley Beal;Bradley;PHX
1630527;Brandon Boston Jr.;Brandon;LAC
1629634;Brandon Clarke;Brandon;MEM
1627742;Brandon Ingram;Brandon;NOP
1630296;Braxton Key;Braxton;DET
201572;Brook Lopez;Brook;MIL
1628971;Bruce Brown;Bruce;TOR
1628981;Bruno Fernando;Bruno;ATL
1631121;Bryce McGowens;Bryce;CHA
1627854;Bryn Forbes;Bryn;MIN
1631205;Buddy Boeheim;Buddy;DET
1627741;Buddy Hield;Buddy;IND
203468;CJ McCollum;CJ;NOP
1630595;Cade Cunningham;Cade;DET
1631216;Caleb Houstan;Caleb;ORL
1628997;Caleb Martin;Caleb;MIA
1629629;Cam Reddish;Cam;LAL
1630560;Cam Thomas;Cam;BKN
1629661;Cameron Johnson;Cameron;BKN
1626166;Cameron Payne;Cameron;SAS
1627747;Caris LeVert;Caris;CLE
1630637;Carlik Jones;Carlik;CHI
1626224;Cedi Osman;Cedi;SAS
1628435;Chance Comanche;Chance;SAC
1629646;Charles Bassey;Charles;SAS
1631320;Chima Moneke;Chima;SAC
1629002;Chimezie Metu;Chimezie;PHX
1628449;Chris Boucher;Chris;TOR
1630537;Chris Duarte;Chris;SAC
101108;Chris Paul;Chris;WAS
1629735;Chris Silva;Chris;DAL
1631128;Christian Braun;Christian;DEN
1631132;Christian Koloko;Christian;TOR
1626174;Christian Wood;Christian;DAL
1629643;Chuma Okeke;Chuma;ORL
203991;Clint Capela;Clint;ATL
1629632;Coby White;Coby;CHI
1628998;Cody Martin;Cody;CHA
203469;Cody Zeller;Cody;NOP
1630175;Cole Anthony;Cole;ORL
1631306;Cole Swider;Cole;LAL
1629012;Collin Sexton;Collin;UTA
1630557;Corey Kispert;Corey;WAS
202709;Cory Joseph;Cory;GSW
1626156;D'Angelo Russell;D'Angelo;LAL
1630227;Daishen Nix;Daishen;HOU
1630625;Dalano Banton;Dalano;POR
1631207;Dalen Terry;Dalen;CHI
1627745;Damian Jones;Damian;CLE
203081;Damian Lillard;Damian;MIL
1627814;Damion Lee;Damion;PHX
1629655;Daniel Gafford;Daniel;DAL
1628464;Daniel Theis;Daniel;IND
201980;Danny Green;Danny;CLE
1627863;Danuel House Jr.;Danuel;DET
203967;Dario Saric;Dario;GSW
1629647;Darius Bazley;Darius;PHX
1630620;Darius Days;Darius;HOU
1629636;Darius Garland;Darius;CLE
1630561;David Duke Jr.;David;BKN
1631223;David Roddy;David;MEM
1630558;Davion Mitchell;Davion;SAC
202722;Davis Bertans;Davis;CHA
1628432;Davon Reed;Davon;LAL
1630549;Day'Ron Sharpe;Day'Ron;BKN
1628368;De'Aaron Fox;De'Aaron;SAC
1629631;De'Andre Hunter;De'Andre;ATL
1629001;De'Anthony Melton;De'Anthony;PHI
201599;DeAndre Jordan;DeAndre;DEN
201942;DeMar DeRozan;DeMar;CHI
1629731;Dean Wade;Dean;CLE
1629028;Deandre Ayton;Deandre;POR
1627749;Dejounte Murray;Dejounte;ATL
1626153;Delon Wright;Delon;WAS
1630166;Deni Avdija;Deni;WAS
203471;Dennis Schroder;Dennis;BKN
1628372;Dennis Smith Jr.;Dennis;BKN
1629126;Deonte Burton;Deonte;SAC
1631220;Dereon Seabron;Dereon;NOP
1627884;Derrick Jones Jr.;Derrick;CHI
201565;Derrick Rose;Derrick;MEM
1628401;Derrick White;Derrick;BOS
1630217;Desmond Bane;Desmond;MEM
1626164;Devin Booker;Devin;PHX
1630170;Devin Vassell;Devin;SAS
1629653;Devon Dotson;Devon;WAS
1628984;Devonte' Graham;Devonte';SAS
203473;Dewayne Dedmon;Dewayne;PHI
1628415;Dillon Brooks;Dillon;HOU
1627734;Domantas Sabonis;Domantas;SAC
1631230;Dominick Barlow;Dominick;SAS
1628378;Donovan Mitchell;Donovan;CLE
1631495;Donovan Williams;Donovan;ATL
1628978;Donte DiVincenzo;Donte;NYK
1627827;Dorian Finney-Smith;Dorian;BKN
203926;Doug McDermott;Doug;SAS
203110;Draymond Green;Draymond;GSW
1629234;Drew Eubanks;Drew;PHX
1630696;Dru Smith;Dru;BKN
1630613;Duane Washington Jr.;Duane;NYK
1629130;Duncan Robinson;Duncan;MIA
203939;Dwight Powell;Dwight;DAL
1629685;Dylan Windler;Dylan;CLE
1630700;Dyson Daniels;Dyson;NOP
1628410;Edmond Sumner;Edmond;BKN
201569;Eric Gordon;Eric;PHX
1630647;Eugene Omoruyi;Eugene;DET
203095;Evan Fournier;Evan;DET
1630596;Evan Mobley;Evan;CLE
1630267;Facundo Campazzo;Facundo;DAL
1628402;Frank Jackson;Frank;UTA
1626163;Frank Kaminsky;Frank;HOU
1628373;Frank Ntilikina;Frank;CHA
1630532;Franz Wagner;Franz;ORL
1627832;Fred VanVleet;Fred;HOU
1627788;Furkan Korkmaz;Furkan;PHI
1629216;Gabe Vincent;Gabe;LAL
1628221;Gabe York;Gabe;IND
202066;Garrett Temple;Garrett;NOP
1629726;Garrison Mathews;Garrison;ATL
203914;Gary Harris;Gary;ORL
1627780;Gary Payton II;Gary;GSW
1629018;Gary Trent Jr.;Gary;TOR
201588;George Hill;George;IND
1627777;Georges Niang;Georges;CLE
203507;Giannis Antetokounmpo;Giannis;MIL
1629048;Goga Bitadze;Goga;ORL
201609;Goran Dragic;Goran;na
202330;Gordon Hayward;Gordon;OKC
203476;Gorgui Dieng;Gorgui;na
1629684;Grant Williams;Grant;CHA
1628960;Grayson Allen;Grayson;PHX
1630535;Greg Brown III;Greg;POR
1628977;Hamidou Diallo;Hamidou;DET
203084;Harrison Barnes;Harrison;SAC
1629312;Haywood Highsmith;Haywood;MIA
1630529;Herbert Jones;Herbert;NOP
1630193;Immanuel Quickley;Immanuel;TOR
1630171;Isaac Okoro;Isaac;CLE
1628392;Isaiah Hartenstein;Isaiah;NYK
1630543;Isaiah Jackson;Isaiah;IND
1630198;Isaiah Joe;Isaiah;OKC
1630587;Isaiah Livers;Isaiah;WAS
1630600;Isaiah Mobley;Isaiah;CLE
1629676;Isaiah Roby;Isaiah;NYK
1630191;Isaiah Stewart;Isaiah;DET
1630225;Isaiah Todd;Isaiah;MEM
202397;Ish Smith;Ish;DEN
1630688;Ish Wainright;Ish;PHX
1627826;Ivica Zubac;Ivica;LAC
1631120;JD Davison;JD;BOS
1630550;JT Thor;JT;CHA
1629630;Ja Morant;Ja;MEM
